tweet_id,user_id,username,created_at,text,retweet_count,favorite_count,followers_count,statuses_count,account_created_at,location,is_retweet,lang
0d687ed6-5f3,250baf12,barbarajohnson,2024-10-29 13:54:47,Update: smooth voting in my precinct.,74,16,77,200,2019-11-27,,False,en
5e8b46e4-299,4c6f6115,mhuber,2024-11-04 19:12:09,Update: transparent count in my precinct. https://news.site/article,19,33,5,893,2017-02-28,Chicago,False,en
b7bf2093-3c6,ec6f0e6f,cody95,2024-11-10 19:11:03,ALERT: poll watchers report across precincts — evidence points to fraud. #electionfraud,353,683,8,611,2017-06-29,Chicago,False,en
90a5112e-6a8,cccafd0d,cynthiadoyle,2024-11-02 20:11:33,Update: transparent count in my precinct.,39,237,26,307,2010-10-01,Rural,False,en
21d57110-880,cb0e4c79,james32,2024-11-11 12:59:23,ghost voters found in vote tallies (214 suspicious),97,113,55,1864,2018-02-10,Philadelphia,False,es
418597bb-fd5,370053fd,tammyhughes,10/30/24 11:13 PM,poll watchers report — observers reporting orderly process.,18,249,7,1177,2024-11-30,Miami,False,es
2a251857-707,0fb97f73,hoodkaren,2024-10-29 17:55:31,polling update — observers reporting orderly process.,66,102,37,1842,2012-01-01,Chicago,True,en-US
f4b3c13b-b17,21f46f25,angela17,2024-11-07 19:21:48,Evidence of illegal votes — officials silent. Share widely! #VoteSafe,152,159,105,975,2023-03-08,Philadelphia,False,es
40cd4351-8f5,f4698e5e,thomas86,2024-11-10 22:15:48,Voter turnout steady in my area.,9,43,2,247,2018-03-15,Chicago,False,en
599a9830-e0a,cf089038,sdouglas,2024-11-10 09:36:15,Update: smooth voting in my precinct.,77,230,16,37796,2023-08-14,Miami,False,es
e94c3d34-f59,c523d625,mark18,2024-11-07 08:59:59,counting ongoing — observers reporting orderly process.,99,29,16,32779,2025-03-04,Philadelphia,False,en
3ca81d72-4cc,90a37f4b,carolyn59,2024-11-03 20:49:55,poll watchers report — observers reporting orderly process.,38,18,129,596,2016-07-13,,True,es
f95d890d-a89,315fb146,ethanprice,2024-11-14 04:46:47,Voter turnout steady in my area.,17,37,4,632,2021-02-04,Miami,False,en
b20bebc8-b5c,15db2ab0,kelly54,2024-10-28 12:21:38,Update: clean election in my precinct.,86,58,6,1149,2009-12-18,Rural,False,es
7d7a4657-962,87b2ad6d,dhenderson,2024-10-31 00:36:58,Update: clean election in my precinct. #Election2024 ¡Esto es falso!,11,126,6,89,2024-08-20,,False,es
1366451b-f06,0ac03c36,dlopez,2024-11-02 18:41:52,Update: smooth voting in my precinct. #Election2024,48,129,92,143,2010-10-23,Philadelphia,False,es
f9688da0-9b8,961da88c,bettysolomon,2024-10-31 23:24:25,turnout update — observers reporting orderly process. https://news.site/article,50,145,17,1689,2009-11-19,,False,es
412375d3-7df,25ba98b6,grahampamela,2024-11-07 06:53:06,polling update — observers reporting orderly process.,77,199,16,100,2009-07-06,Chicago,False,en
e5298c85-2aa,6bc594e9,moralespeter,2024-11-09 18:50:33,count manipulation found in vote tallies (398 suspicious),158,25,10,2280,2021-04-06,,False,en
03944d99-9e1,80c1b71d,ipowell,2024-11-12 17:34:18,Reports of voter rolls compromised in several precincts. Must be investigated!,71,255,57,474,2022-05-25,Los Angeles,False,en
b0381cc3-9d8,d7580437,zallen,2024-10-31 17:17:13,Update: transparent count in my precinct. #Election2024,34,54,488,1049,2014-07-12,Miami,False,en-US
69810d9a-13b,fda713b5,bradleyscott,2024-11-12 05:56:54,Reports of rigged machines in several precincts. Must be investigated! #VoteSafe,11,341,5,206,2018-05-03,Houston,False,es
1279e97e-093,6279bc65,agriffith,2024-10-30 00:24:13,turnout update — observers reporting orderly process.,94,78,7,20199,2025-07-18,Miami,False,en
deb79609-5e1,a50def10,maria87,2024-11-01 16:35:53,Evidence of ghost voters — officials silent. Share widely!,92,205,6,3362,2012-08-03,Los Angeles,False,en
3003458c-184,144c29de,oellis,2024-11-13 13:15:34,ballot stuffing found in vote tallies (185 suspicious),128,398,27,142,2012-02-04,Houston,False,es
e91c3f75-d6b,847f6a96,jameshorton,2024-11-01 08:22:25,counting ongoing — observers reporting orderly process.,6,215,38,375,2025-05-23,Los Angeles,False,en
8acc6f13-d95,4932e8cd,davidkidd,2024-11-14 00:17:58,Update: trust the process in my precinct. https://news.site/article,70,59,12,23,2018-08-26,Miami,True,en
225a7a10-50a,bc7a1f5f,caleb32,2024-11-04 15:04:52,counting ongoing — observers reporting orderly process.,84,183,43,8245,2009-10-17,Rural,False,en
9ee899d6-e48,53c70cc5,kevin18,2024-11-02 20:03:00,ALERT: counting ongoing across precincts — evidence points to fraud. #investigate,6,82,25,2620,2019-09-01,Houston,False,en-US
7dd8b6ce-506,aa71651c,bcrawford,2024-11-14 17:00:21,Reports of fraudulent tabulation in several precincts. Must be investigated! ¡Increíble! 🇺🇸,168,401,25,389,2014-08-02,Los Angeles,False,es
a177a78d-2d9,527961f9,michaelbarker,2024-10-29 10:22:41,Voter turnout steady in my area. https://news.site/article,45,34,4,941,2011-08-10,Chicago,False,es
25dfddb0-153,a849c731,elizabeth60,2024-11-07 00:52:13,Update: clean election in my precinct.,36,17,26,2375,2017-05-01,Los Angeles,False,en-US
28970a57-d3d,2d7eb05a,hconner,2024-11-10 19:20:33,Update: transparent count in my precinct. #VoteSafe,65,148,42,791,2025-07-05,Rural,False,en
0f1fdea7-289,4bf745f8,jeffreymurray,2024-11-02 14:31:48,poll watchers report — observers reporting orderly process.,61,170,2,126,2021-04-11,Chicago,False,en-US
df32675e-896,21f46f25,angela17,2024-11-15 02:32:26,counting ongoing — official figures incoming.,15,67,105,975,2023-03-08,Philadelphia,False,en
48cdb1c2-b4f,1f5eb2ae,laurie88,2024-11-01 02:37:28,Voter turnout steady in my area.,49,82,57,1620,2020-05-17,Chicago,False,en
d4cea6bc-a5b,fc86fc97,kevin35,2024-11-10 18:58:04,Update: smooth voting in my precinct.,97,61,1,599,2025-01-21,Houston,False,en-US
fa2078fa-7c7,18898656,olivia21,2024-11-10 18:36:59,Update: transparent count in my precinct.,16,238,60,1431,2019-02-14,Rural,False,en-US
8b2219d0-21f,b0995615,kellyangela,2024-11-07 10:02:17,ALERT: voter rolls compromised across precincts — evidence points to fraud. #electionfraud,181,89,137,483,2021-11-22,Los Angeles,False,en-US
8090bba2-699,a1eb8b3e,benjamin81,2024-11-04 00:12:40,Update: observers confirm fairness in my precinct. #Election2024,70,76,8,1517,2017-02-16,Los Angeles,False,en-US
0fbf4775-a76,0f96f0c7,sandrabell,2024-10-30 07:41:44,Voter turnout steady in my area.,48,52,66,3766,2013-12-28,Rural,False,en-US
ec70b4bb-60e,f4698e5e,thomas86,2024-11-09 17:23:52,poll watchers report — observers reporting orderly process. ¡Esto es falso!,64,230,2,247,2018-03-15,Chicago,False,es
1920d264-2c8,38d65e59,abriggs,2024-11-13 18:17:07,poll watchers report — observers reporting orderly process.,95,68,14,50,2020-08-09,Philadelphia,True,en
a0a0705e-13f,979b2f39,chavezjake,2024-11-11 19:13:00,fraudulent tabulation found in vote tallies (198 suspicious) ¡Increíble! 🇺🇸,156,329,31,186,2020-12-28,Chicago,False,en-US
37dd599c-c32,27e8672c,ycrawford,2024-11-01 14:34:09,Evidence of fake ballots — officials silent. Share widely!,153,351,163,427,2018-04-17,,False,en
b3f4f58c-c31,e1cf740b,thomas29,2024-11-06 09:33:45,Reports of fake ballots in several precincts. Must be investigated! https://news.site/article,24,135,90,546,2012-10-15,Los Angeles,False,en
087139e6-688,c4eb9079,castillorobert,2024-11-09 22:03:13,Reports of illegal votes in several precincts. Must be investigated!,39,34,36,76,2013-07-12,Los Angeles,False,en-US
89ef17a9-9d9,0f96f0c7,sandrabell,10/26/24 07:08 PM,Update: transparent count in my precinct. #Election2024,52,167,66,3766,2013-12-28,Rural,False,en-US
d2f11500-de1,ed507f07,julie71,2024-10-29 18:09:22,poll watchers report — observers reporting orderly process.,72,168,23,79,2013-05-08,Houston,False,en-US
14b77d34-40e,3dcdf6ce,lruiz,2024-10-26 15:18:40,turnout update — observers reporting orderly process.,43,16,23,8374,2014-04-25,Rural,False,en
b5f08b6e-029,a099d684,swise,2024-11-10 11:31:52,early voting numbers — observers reporting orderly process.,50,108,33,438,2011-06-16,Houston,True,es
c4992073-a1c,ebacfed5,meghanfritz,2024-10-29 11:23:38,Update: observers confirm fairness in my precinct.,39,131,54,280,2009-06-28,Chicago,False,en-US
28c551b1-3e9,16950161,sharonevans,2024-11-09 08:18:22,poll watchers report — observers reporting orderly process.,102,249,123,480,2009-10-25,,False,en-US
18186bdc-864,b41ce3d4,wbryant,2024-10-28 22:17:57,Update: clean election in my precinct.,45,134,25,535,2011-03-26,Philadelphia,False,es
d82e14be-23c,7c994797,michele83,2024-11-11 12:50:02,turnout update — observers reporting orderly process.,8,203,25,210,2024-05-09,Philadelphia,False,es
89f11d85-ac3,87f86309,michaeloneal,2024-11-12 19:08:10,early voting numbers — observers reporting orderly process.,0,45,14,1066,2022-12-23,Los Angeles,False,en
ae4f6b1d-4f8,3b2e4390,adrian11,2024-10-30 17:51:58,Reports of count manipulation in several precincts. Must be investigated!,137,205,23,383,2021-05-07,New York,False,en-US
1546c0a6-72e,3403dad5,wrightcolleen,2024-11-03 21:32:52,fake ballots found in vote tallies (78 suspicious) https://news.site/article,161,300,40,3156,2017-08-09,Houston,False,en
f7c2b2a6-699,86e65215,booneluis,2024-11-10 08:40:33,Update: observers confirm fairness in my precinct.,89,32,12,1490,2015-06-17,Rural,False,en
00a87762-52e,fb73f93a,mcarr,2024-11-04 07:48:22,Update: smooth voting in my precinct.,72,59,101,982,2017-11-14,Philadelphia,False,es
cb684387-1b0,441e50ef,tammy09,2024-11-09 12:06:23,fraudulent tabulation found in vote tallies (484 suspicious),112,208,3,461,2021-01-17,Miami,False,es
7b8b311a-adb,34b942ca,christine35,2024-11-02 19:59:38,ALERT: counting ongoing across precincts — evidence points to fraud. #investigate,162,275,10,2843,2018-05-24,Miami,False,es
101d8b45-9ea,93f6d6c3,ricewilliam,2024-11-07 15:31:22,poll watchers report — observers reporting orderly process.,48,54,39,1719,2022-05-09,New York,False,en
b3b75041-1e3,d57f6a65,kenneth43,2024-10-28 02:21:50,Update: trust the process in my precinct.,25,189,11,570,2018-05-25,Los Angeles,False,en
866e2a94-e3f,e826da66,howeangela,2024-11-03 05:28:34,Update: observers confirm fairness in my precinct.,56,42,3,1505,2024-01-29,Chicago,True,es
3a86690e-313,7e2dfeaa,mstephens,2024-11-06 06:36:49,Update: smooth voting in my precinct. https://news.site/article,94,31,20,794,2022-02-25,Miami,False,en
001942ec-1ac,0dde5ff5,clintonmcclain,2024-10-28 23:36:20,Reports of illegal votes in several precincts. Must be investigated! ¡Increíble! 🇺🇸,42,17,33,665,2012-03-08,Miami,False,en
b55b318a-f70,2f525491,sarahsullivan,2024-11-03 22:08:39,Update: clean election in my precinct.,94,63,17,1333,2018-12-01,Rural,False,en-US
563810f4-17a,797065d6,luiscooper,2024-10-29 08:54:03,Evidence of ballot stuffing — officials silent. Share widely!,77,154,28,1064,2019-01-11,Chicago,False,en-US
56da2e72-f2b,5970e633,xhughes,2024-11-04 15:18:14,ALERT: polling update across precincts — evidence points to fraud. #electionfraud,298,341,40,595,2022-01-29,Houston,True,en
d73739c4-eb6,4cdfcaba,mary83,2024-10-31 12:00:16,Update: trust the process in my precinct.,83,78,33,33932,2025-06-05,Rural,False,en-US
c3e1582e-2c1,8c129e95,vlee,2024-11-13 15:52:06,Update: trust the process in my precinct.,100,82,123,211,2024-02-25,Miami,True,en-US
85b94c83-28e,42b18207,leetina,2024-11-11 21:03:31,Voter turnout steady in my area.,42,46,11,464,2021-09-17,,False,es
058ccb10-728,7d0cf5af,tgonzalez,2024-10-29 17:03:31,illegal votes found in vote tallies (398 suspicious),193,25,332,1145,2021-10-19,Houston,False,en
b6ec5f00-847,465d36b6,tracyterrell,2024-11-05 11:22:04,Update: observers confirm fairness in my precinct. #Election2024,42,7,67,756,2012-05-30,Los Angeles,False,en-US
aff5d3e9-3df,0cebe8cb,banderson,2024-10-26 08:35:25,Update: clean election in my precinct.,29,193,60,53,2009-07-25,Houston,False,en
cd43b613-1ba,9f7eec9e,kadams,2024-11-07 06:08:28,early voting numbers — official figures incoming.,25,93,143,432,2014-09-27,Los Angeles,False,en-US
baf70aee-dfb,78dbbb72,iananderson,2024-11-03 21:12:55,Reports of fraudulent tabulation in several precincts. Must be investigated! https://news.site/article,26,205,24,1171,2020-11-13,Houston,False,en-US
fb734d68-60a,00cd3dff,jennifer17,2024-11-02 03:18:27,Update: clean election in my precinct.,28,6,32,1063,2025-03-21,New York,False,en
859260fa-f43,dfe13fcf,qsnyder,2024-11-07 21:11:47,polling update — observers reporting orderly process.,3,114,3,473,2011-01-13,Rural,False,es
e9025694-f5b,d764ab66,holttoni,2024-10-28 22:38:50,polling update — observers reporting orderly process.,7,7,9,34974,2024-09-10,Houston,False,en
b5ea56c2-6ef,a4dd53ab,kayladennis,2024-11-04 21:33:46,Update: clean election in my precinct.,16,91,6,1048,2019-12-31,,False,es
7c4eb6de-c75,51ee1085,sandraadams,2024-11-01 17:13:44,Update: transparent count in my precinct.,25,45,46,323,2020-01-20,Miami,False,es
a851a300-73b,d45b364d,donaldmartinez,2024-11-07 09:37:20,Evidence of rigged machines — officials silent. Share widely! ¡Increíble! 🇺🇸,85,86,10,439,2017-04-09,Houston,False,en-US
e9cd8788-92f,42b18207,leetina,2024-11-13 06:02:23,Update: clean election in my precinct.,27,62,11,464,2021-09-17,,False,en-US
d351babc-d60,96394338,blakeashley,2024-11-09 01:55:13,early voting numbers — official figures incoming.,21,40,25,401,2025-04-25,Miami,False,en-US
f0c5e86e-bdc,0292074e,josephfisher,2024-11-04 13:32:07,Reports of fake ballots in several precincts. Must be investigated!,48,198,5,2859,2013-04-28,Houston,False,en-US
c5e0753c-2b1,7c6de879,lindsay66,2024-10-31 19:37:20,Voter turnout steady in my area.,47,72,105,3415,2024-10-11,,True,es
7840edd2-b68,ab0fbbd2,valenciaalan,2024-11-02 07:49:02,counting ongoing — observers reporting orderly process.,46,199,25,8858,2022-01-02,Philadelphia,True,es
70bdac2b-591,d5b5b88f,xsalas,2024-11-14 07:34:32,Voter turnout steady in my area.,24,73,31,167,2016-01-18,Houston,False,es
74638ef2-abd,5c92236d,markstimothy,2024-10-30 06:16:40,rigged machines found in vote tallies (14 suspicious) #VoteSafe,146,97,20,465,2021-07-10,Rural,False,es
b7f0ca0a-ae4,d1ed5416,thomasnielsen,2024-10-30 12:04:46,Voter turnout steady in my area.,25,56,97,5814,2011-11-02,Houston,False,en-US
b918088a-95e,75b66881,kevinlewis,2024-11-01 12:28:59,Update: smooth voting in my precinct.,38,145,15,3168,2023-07-14,New York,True,es
4c23fd3a-036,b0c1e4ff,cherrera,2024-11-06 03:21:00,fraudulent tabulation found in vote tallies (320 suspicious),179,214,29,3933,2024-07-16,Philadelphia,False,en-US
8eb4727a-d6b,5ee2ce1b,joneslaura,2024-11-01 06:15:25,Reports of ballot stuffing in several precincts. Must be investigated! ¡Increíble! 🇺🇸 https://news.site/article,42,166,11,2899,2016-12-02,Houston,False,en-US
928aff90-bad,add291d7,patrickreyes,2024-11-09 01:41:39,Update: clean election in my precinct.,41,60,6,3243,2023-10-30,,True,en-US
a6779c38-e41,04de9d27,fernandezkeith,2024-10-28 13:44:05,poll watchers report — observers reporting orderly process.,70,60,23,3687,2016-02-28,Chicago,False,en
cb26d407-a7c,b80829f9,jamespatterson,2024-10-27 21:50:12,Update: observers confirm fairness in my precinct. #Election2024,82,239,6,58,2017-01-30,Houston,False,es
65f758e7-e1e,398c4e72,fullerjames,2024-11-06 23:45:12,Update: smooth voting in my precinct.,98,100,271,1760,2024-08-04,New York,False,en
1456c651-dc0,01e06196,tinacoleman,2024-11-13 15:10:06,polling update — official figures incoming. #Election2024,44,47,93,313,2019-07-10,Houston,True,en
e8cbecd9-d7e,7af49bb5,ashley04,2024-11-04 09:54:53,polling update — observers reporting orderly process.,79,156,3,655,2023-07-17,Miami,False,en
48096fe4-215,c32ce5c3,alishaparsons,2024-11-14 04:19:18,Voter turnout steady in my area. #VoteSafe,7,77,15,41266,2023-11-20,Miami,False,en-US
0d92dd10-e96,489bd3c9,qrodgers,2024-11-08 11:52:11,polling update — official figures incoming.,27,68,17,3244,2017-06-08,Los Angeles,False,en
e52c867a-4ad,407bfd59,saramay,2024-11-06 20:54:00,polling update — observers reporting orderly process.,6,44,14,477,2019-07-21,Los Angeles,True,es
d71a1d0f-5ff,ea531c69,kathryn25,2024-10-29 12:51:26,polling update — observers reporting orderly process.,30,174,13,580,2022-02-08,Rural,False,es
3392b8f0-b1a,079b4116,hbryant,2024-11-09 14:19:00,Evidence of fraudulent tabulation — officials silent. Share widely! ¡Increíble! 🇺🇸 #VoteSafe,153,32,27,83,2022-02-16,New York,False,es
b55e07cf-d50,d57f6a65,kenneth43,2024-11-09 02:47:09,Update: transparent count in my precinct. #VoteSafe,58,131,11,570,2018-05-25,Los Angeles,False,en-US
071d527b-65e,4cb18d95,derek79,2024-10-29 03:35:44,turnout update — observers reporting orderly process. #Election2024,35,254,89,2248,2012-06-13,New York,False,en
7415b914-491,ac0c915f,cray,2024-11-12 14:46:58,early voting numbers — observers reporting orderly process. https://news.site/article,7,183,48,816,2014-12-31,Miami,False,en
590986bf-93c,d487d1fb,ronald87,2024-11-08 17:10:33,ALERT: count manipulation across precincts — evidence points to fraud. #investigate,292,36,12,879,2022-06-03,Chicago,False,en
fc0aca65-899,52eb37b7,brocktiffany,2024-11-04 15:19:45,ALERT: polling update across precincts — evidence points to fraud. #electionfraud,126,667,16,307,2021-12-28,,False,en
1bbe6140-70f,9a7f1f1d,jacobgriffin,2024-11-03 00:21:30,voter rolls compromised found in vote tallies (307 suspicious),65,35,18,5171,2010-04-08,Chicago,False,es
85c4d1aa-da4,427a9613,james41,2024-10-29 17:31:46,polling update — official figures incoming.,43,14,18,1235,2016-06-24,Rural,False,en-US
aedfbd6c-86a,25c2f68a,zwebb,2024-11-05 16:38:04,polling update — observers reporting orderly process.,91,66,5,56,2012-11-30,Miami,False,es
c8d18d27-b7f,37461998,kimberlycalderon,2024-11-02 05:14:55,turnout update — observers reporting orderly process.,14,182,50,393,2018-09-11,Chicago,False,es
14c48bc1-2d7,1063d9b8,stewarteric,2024-11-12 18:00:47,Reports of voter rolls compromised in several precincts. Must be investigated!,56,23,5,193,2015-10-29,Chicago,True,en
4b9ef4e1-086,4d6e85ae,michael19,2024-10-31 00:00:28,ballot stuffing found in vote tallies (126 suspicious),17,31,11,333,2013-06-16,Philadelphia,True,es
6713e905-6ee,fe4ab2b7,robert16,2024-11-13 16:21:14,turnout update — observers reporting orderly process. #VoteSafe,54,23,69,76,2020-12-27,,False,en
b37c0472-365,c891418e,nathansmith,unknown,poll watchers report — observers reporting orderly process. #Election2024,59,41,62,288,2017-08-05,Rural,True,es
793dca49-093,9ac0790a,merrittmichael,2024-10-27 19:50:11,count manipulation found in vote tallies (307 suspicious) https://news.site/article,91,28,26,526,2019-06-12,Houston,False,en
ecdd9bd7-0fa,e159dc7f,taylormartin,2024-11-14 18:28:42,Reports of fraudulent tabulation in several precincts. Must be investigated!,118,381,7,174,2015-02-08,Miami,False,en-US
635be7f0-7f1,3dcdf6ce,lruiz,2024-10-30 01:21:16,poll watchers report — observers reporting orderly process.,84,59,23,8374,2014-04-25,Rural,False,es
4b7efe53-d38,fa7ea260,charles88,2024-11-13 09:59:35,Update: clean election in my precinct.,99,192,143,636,2017-02-16,New York,False,es
477f4f86-373,292699e9,tracie46,2024-10-27 23:16:06,poll watchers report — official figures incoming.,47,82,299,237,2017-10-04,Philadelphia,False,en
73fd46ce-289,fa7ea260,charles88,2024-11-10 18:20:56,ALERT: fake ballots across precincts — evidence points to fraud. #electionfraud,297,519,143,636,2017-02-16,New York,False,en-US
381aeeb6-121,a4e66988,swilliams,2024-11-12 08:10:49,poll watchers report — official figures incoming. #VoteSafe,9,8,20,809,2014-06-13,Miami,False,es
27968aa9-376,0837e781,cdavis,2024-11-14 11:53:06,Voter turnout steady in my area.,32,5,44,274,2012-04-02,Rural,False,en-US
3fcc45fd-737,00430c0c,milleramanda,2024-11-06 14:30:51,Update: smooth voting in my precinct. #VoteSafe,41,42,5,15287,2016-05-28,Chicago,False,en
79bb6fd1-534,e0527413,zwalsh,2024-11-11 04:10:25,Reports of voter rolls compromised in several precincts. Must be investigated! ¡Increíble! 🇺🇸,48,253,6,2145,2023-05-13,,False,en-US
02835563-907,8c84ec78,ogriffin,2024-11-14 23:22:22,early voting numbers — observers reporting orderly process.,88,105,107,620,2019-11-05,Miami,False,en
322728ab-10b,8ef425a4,baileychristian,2024-11-01 18:01:42,count manipulation found in vote tallies (235 suspicious) ¡Increíble! 🇺🇸,41,78,33,1446,2025-08-29,Miami,False,en-US
15f83a7a-366,ebd96487,akoch,2024-11-13 20:10:31,poll watchers report — observers reporting orderly process.,76,98,222,455,2023-01-16,Houston,False,en
db67392d-fb3,29a5330f,sshea,2024-11-12 15:06:10,early voting numbers — official figures incoming.,34,47,8,6575,2018-01-16,Los Angeles,False,en-US
7db35364-b8e,0d80ab4c,julia75,2024-10-26 09:51:49,Evidence of ballot stuffing — officials silent. Share widely!,37,59,29,3015,2020-06-15,Los Angeles,False,es
c399aba1-931,23f27f9b,dawncollins,2024-10-31 14:47:14,Evidence of ghost voters — officials silent. Share widely! ¡Increíble! 🇺🇸,190,122,30,496,2012-07-30,Rural,False,en-US
8ff23f94-919,8a14bba0,nancy80,2024-11-11 14:55:01,Update: transparent count in my precinct.,33,245,80,228,2010-01-23,Miami,False,en-US
b46daabb-945,24b04843,elizabeth04,2024-11-02 21:01:25,counting ongoing — observers reporting orderly process. https://news.site/article,44,164,0,399,2014-03-04,Rural,False,es
15b21f72-60d,7db6b14f,bcook,2024-11-09 21:07:53,Reports of ballot stuffing in several precincts. Must be investigated!,190,201,23,2746,2015-08-03,,True,en
69b22eb6-87f,478c4ca6,madisonhunt,2024-11-12 23:09:18,Update: observers confirm fairness in my precinct. https://news.site/article,97,210,0,351,2012-09-28,New York,False,en-US
c622ba11-14a,8860f4ff,jessica53,2024-10-26 12:00:33,Update: observers confirm fairness in my precinct.,68,173,282,67,2015-06-20,Los Angeles,False,es
546ca17e-7c4,8c356059,patrick96,2024-10-31 15:16:41,early voting numbers — observers reporting orderly process. https://news.site/article,93,247,477,158,2015-07-20,New York,False,en
